Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Фесенко,Вікторія,Петрівна,Жіноча,12.05.1945,Клавішник,селище Бібрка,"вулиця Луцька, буд. 060, Кролевець, 95072",053 650 86 67,iustynapiatachenko@example.org
Нестеренко,Роксолана,Дмитрівна,Жіноча,19.01.1940,Драматург,село Балаклія,"узвіз Закарпатська, буд. 818 кв. 04, Яготин, 81326",+380 (19) 993-57-83,smykherman@example.com
Козак,Орина,Іванівна,Жіноча,07.08.1975,Сантехнік,місто Татарбунари,"проспект Чорноморського козацтва, буд. 279, Олевськ, 61674",763-46-86,davydenkoopanas@example.org
Аронець,Камілла,Сергіївна,Жіноча,03.11.1972,Графік,селище Тульчин,"сквер Юхима Фесенка, буд. 9, Бучач, 95405",+380 (90) 790-36-46,albertvivcharenko@example.net
Рубан,Василина,Дмитрівна,Жіноча,21.02.1943,Драматург,хутір Корсунь-Шевченківський,"сквер Велика Арнаутська, буд. 6, Дунаївці, 11242",+380 78 176 84 99,iaremkoviktor@example.net
Онищенко,Оксана,Федорівна,Жіноча,19.01.2007,Кіноактор,селище Обухів,"шосе Нікітіна, буд. 39, Монастириська, 48730",+380 45 714-57-49,qverkhola@example.com
Мірошниченко,Клавдія,Іванівна,Жіноча,04.04.1972,Детектив,село Тараща,"набережна Рибальська, буд. 5, Попасна, 04441",+380 (59) 454-09-29,hkabaliuk@example.com
Нестеренко,Вікторія,Федорівна,Жіноча,12.01.1959,Водій,село Помічна,"проспект Весняна, буд. 37 кв. 544, Чоп, 28218",+380 47 648-14-87,nkhrystenko@example.net
Єрошенко,Надія,Андріївна,Жіноча,01.02.1979,Менеджер,хутір Бурштин ,"узвіз Парусна, буд. 83, Долинська, 05370",167 43 24,amaliia27@example.net
Ткаченко,Данна,Михайлівна,Жіноча,24.03.1955,Сантехнік,селище Коростишів,"сквер Молодіжна, буд. 4, Зборів, 83308",883 00 42,bohdan54@example.org
Конопля,Ганна,Олександрівна,Жіноча,23.11.2001,Електромонтажник,село Підгайці,"узвіз Військовий узвіз, буд. 744, Міусинськ, 14279",902 24 78,sofiiadatsenko@example.net
Дзиндра,Камілла,Федорівна,Жіноча,01.02.1975,Клоун,село Бунге ,"шосе Хутірська, буд. 8, Узин, 09591",+380 04 467-98-63,zmamchur@example.net
Василечко,Пріска,Іванівна,Жіноча,30.06.1973,Реставратор,місто Миронівка,"площа Травневий 1-й, буд. 3, Роздільна, 39129",+380 91 987 41 76,nteslenko@example.org
Рева,Святослава,Олександрівна,Жіноча,22.07.1971,Соціолог,місто Світлодарськ,"проспект Венгера, буд. 44, Рожище, 62620",516-95-62,iaroslava28@example.org
Влох,Анжела,Володимирівна,Жіноча,22.11.1983,Етнограф,місто Костянтинівка,"узвіз Таїрова, буд. 4, Буча, 67433",090 030 89 46,trokhymbazavluchenko@example.net
Баштан,Христина,Вікторівна,Жіноча,02.05.1978,Бухгалтер,місто Чорнобиль,"провулок Кругова, буд. 543 кв. 0, Пологи , 44897",059 392-78-73,hennadii87@example.com
Рубан,Камілла,Михайлівна,Жіноча,24.06.1965,Медик,хутір Марганець ,"проспект Східчастий 4-й, буд. 68 кв. 296, Тульчин, 11327",736 09 95,mykhailiukamvrosii@example.org
Василевич,Алла,Михайлівна,Жіноча,19.02.1945,Менеджер,село Батурин,"сквер Давида Ойстраха, буд. 2, Монастириська, 53942",957 67 20,svystunborys@example.org
Доценко,Орися,Сергіївна,Жіноча,23.01.1977,Зоолог,селище Южноукраїнськ,"площа Воронезька, буд. 007 кв. 41, Турка, 24435",+380 96 975-52-39,rshapoval@example.org
Деревʼянко,Сніжана,Федорівна,Жіноча,28.11.1941,Лікар,селище Гірське,"проспект Цегляна, буд. 7 кв. 92, Привілля, 31131",+380 56 186-15-94,fedirhuk@example.net
Чміль,Наталія,Михайлівна,Жіноча,15.11.1972,Кур'єр,хутір Сарни,"вулиця Пейзажна, буд. 3, Ананьїв, 32077",+380 82 839-42-24,nazar80@example.com
Ткач,Юстина,Олександрівна,Жіноча,12.08.1993,Модельєр,село Новий Розділ,"набережна Рівності 2-й, буд. 31, Амвросіївка, 50780",380-82-80,vadym97@example.com
Ящук,Софія,Сергіївна,Жіноча,20.10.1994,Електромонтер,хутір Кам'янець-Подільський,"парк Овідіопольський, буд. 110 кв. 494, Татарбунари, 46758",+380 74 948 83 85,pbabiak@example.com
Пʼятаченко,Аніта,Іванівна,Жіноча,04.12.1946,Стропальник,селище Нововолинськ,"узвіз Перемоги, буд. 453 кв. 406, Горохів, 36300",054 561-38-63,vnosachenko@example.com
Сич,Єлисавета,Федорівна,Жіноча,20.11.1989,Громадський діяч,селище Угнів,"набережна Саксаганського, буд. 6, Бурштин , 07865",078 826-83-63,liliiazakusylo@example.com
Захаренко,Ганна,Федорівна,Жіноча,10.01.1952,Професор,селище Тульчин,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 72, Мукачево, 01473",246 56 89,hryhorii80@example.com
Ткаченко,Наталія,Федорівна,Жіноча,26.01.1982,Електрослюсар,місто Єнакієве,"набережна Лермонтовський 2-й, буд. 1, Яготин, 33878",006 435 15 02,solomonderevianko@example.net
Даниленко,Марина,Федорівна,Жіноча,18.05.1944,Філолог,селище Зборів,"набережна Красносільська, буд. 31, Нововолинськ, 67659",+380 42 672-90-09,fartushniakliliia@example.net
Юрчишин,Емілія,Олександрівна,Жіноча,16.11.2006,Живописець,хутір Білицьке,"шосе Лермонтовський, буд. 95 кв. 213, Бровари, 04119",560 96 19,ppalii@example.org
Чуйко,Оксенія,Дмитрівна,Жіноча,20.04.1938,Кіноактор,село Жашків,"шосе Маковий, буд. 878 кв. 88, Біляївка, 07498",+380 (19) 544-32-18,amaliia68@example.org
Чалий,Мілена,Сергіївна,Жіноча,23.07.1981,Пекар,хутір Хорол ,"набережна Лінія 28-ма, буд. 402 кв. 18, Дебальцеве, 84774",583-71-99,oleh64@example.net
Вахній,Златослава,Дмитрівна,Жіноча,09.10.1974,Ветеринар,хутір Сокиряни,"вулиця Посівна, буд. 53, Ужгород, 68755",+380 65 180-21-31,hutsuliakles@example.net
Жайворон,Алла,Володимирівна,Жіноча,25.03.2002,Музичний редактор,хутір Красноград,"площа Лип Івана та Юрія, буд. 523, Хирів, 90553",+380 20 664-10-77,schumak@example.com
Шовкопляс,Маруся,Вікторівна,Жіноча,25.06.1956,Лікар,село Старокостянтинів,"площа Донцова Дмитра, буд. 6 кв. 085, Авдіївка, 99982",+380 78 996-76-31,alberttsybulenko@example.net
Архимович,Христина,Іванівна,Жіноча,15.12.1949,Промисловець,місто Лиман ,"вулиця Соляна, буд. 2 кв. 888, Монастирище, 79033",+380 (36) 699-15-38,karpakhrystyna@example.org
Дутка,Валентина,Сергіївна,Жіноча,25.04.1966,Нотаріус,селище Кадіївка,"набережна Кедровий, буд. 92, Вугледар, 38513",009 122 39 99,dskyrda@example.net
Рудик,Лариса,Дмитрівна,Жіноча,06.11.1990,Флорист,місто Вишгород,"набережна Лиманчик 2-й Лінія 3-тя, буд. 652 кв. 809, Горішні Плавні, 65273",+380 (72) 291-69-66,skorobohatkokhoma@example.com
Матяш,Анастасія,Вікторівна,Жіноча,13.05.1956,Електрослюсар,хутір Ржищів,"сквер Асташкіна, буд. 968, Теплодар, 40592",623-29-01,ivanokhrymovych@example.net
Запорожець,Ліза,Андріївна,Жіноча,12.08.1962,Головний меркшейдер,село Ізмаїл,"парк Хаджибейський 1-й, буд. 6, Трускавець, 28048",051 946-11-69,mievtushenko@example.org
Ребрик,Тетяна,Дмитрівна,Жіноча,13.03.1939,Філолог,хутір Яремче,"сквер Кісельова Ігоря, буд. 64 кв. 2, Шпола, 41526",+380 95 117-63-50,ostap46@example.net
Кибкало,Вікторія,Федорівна,Жіноча,10.06.1947,Епідеміолог,місто Рубіжне,"парк Кишинівська, буд. 5 кв. 9, Іловайськ, 42009",+380 92 158 05 89,kovalenkotaras@example.org
Івасюк,Ліза,Петрівна,Жіноча,16.09.1942,Золотар,хутір Щолкіне,"шосе Деревообробний 2-й, буд. 0 кв. 216, Новий Буг, 48858",088 192 32 02,bohdan72@example.org
